time,batVoltage,batCurrent,solarVoltage,solarCurrent,loadVoltage,loadCurrent
14:36:56.869,3903.75,0.00,1.25,0.00,1.25,-1.25
14:36:57.198,3905.00,0.00,1.25,0.00,0.00,0.00
14:36:57.381,3905.00,0.00,1.25,0.00,0.00,-1.25
14:36:57.636,3905.00,-1.25,0.00,0.00,0.00,2.50
14:36:57.891,3903.75,0.00,0.00,0.00,2.50,1.25
14:36:58.181,3905.00,-1.25,0.00,-1.25,1.25,0.00
14:36:58.400,3906.25,0.00,0.00,-2.50,0.00,0.00
14:36:58.655,3906.25,0.00,1.25,-1.25,0.00,0.00
14:36:58.909,3905.00,0.00,0.00,-1.25,1.25,1.25
14:36:59.182,3905.00,1.25,1.25,0.00,0.00,0.00
14:36:59.426,3905.00,-1.25,1.25,-1.25,1.25,0.00
14:36:59.674,3905.00,0.00,0.00,1.25,0.00,1.25
14:36:59.928,3905.00,0.00,0.00,0.00,1.25,1.25
14:37:00.216,3903.75,-1.25,1.25,-1.25,0.00,0.00
14:37:00.438,3906.25,-1.25,0.00,-1.25,1.25,-1.25
14:37:00.693,3905.00,0.00,1.25,0.00,1.25,-1.25
14:37:00.947,3905.00,-1.25,0.00,-1.25,1.25,1.25
14:37:01.216,3905.00,0.00,1.25,-1.25,1.25,0.00
14:37:01.457,3905.00,0.00,1.25,0.00,1.25,0.00
14:37:01.711,3905.00,-1.25,0.00,1.25,0.00,0.00
14:37:01.966,3905.00,0.00,0.00,1.25,1.25,1.25
14:37:02.240,3905.00,-1.25,0.00,0.00,0.00,1.25
14:37:02.475,3906.25,-2.50,0.00,1.25,1.25,-1.25
14:37:02.730,3905.00,1.25,0.00,0.00,1.25,0.00
14:37:02.985,3906.25,-1.25,1.25,-1.25,1.25,-1.25
14:37:03.240,3903.75,0.00,0.00,0.00,0.00,0.00
14:37:03.494,3906.25,-1.25,0.00,-1.25,1.25,-1.25
14:37:03.749,3905.00,1.25,1.25,-1.25,1.25,-1.25
14:37:04.004,3903.75,-1.25,0.00,0.00,0.00,1.25
14:37:04.259,3905.00,-1.25,0.00,0.00,0.00,-2.50
14:37:04.513,3903.75,0.00,0.00,0.00,1.25,0.00
14:37:04.768,3906.25,0.00,1.25,-1.25,0.00,0.00
14:37:05.023,3905.00,0.00,1.25,0.00,0.00,0.00
14:37:05.277,3905.00,-1.25,1.25,1.25,0.00,0.00
14:37:05.532,3906.25,0.00,1.25,-1.25,1.25,1.25
14:37:05.787,3905.00,0.00,1.25,1.25,1.25,0.00
14:37:06.070,3906.25,0.00,0.00,0.00,0.00,-1.25
14:37:06.311,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:06.551,3905.00,1.25,0.00,-1.25,1.25,0.00
14:37:06.806,3905.00,0.00,0.00,1.25,1.25,0.00
14:37:07.067,3903.75,0.00,1.25,-1.25,0.00,0.00
14:37:07.315,3903.75,-1.25,0.00,0.00,1.25,1.25
14:37:07.570,3905.00,2.50,1.25,0.00,1.25,1.25
14:37:07.838,3905.00,-1.25,0.00,-1.25,1.25,0.00
14:37:08.079,3903.75,-1.25,0.00,0.00,1.25,0.00
14:37:08.334,3905.00,-1.25,1.25,1.25,1.25,1.25
14:37:08.589,3905.00,0.00,1.25,0.00,1.25,-1.25
14:37:08.843,3905.00,0.00,0.00,-1.25,1.25,0.00
14:37:09.156,3905.00,0.00,1.25,0.00,1.25,0.00
14:37:09.353,3905.00,-1.25,1.25,-1.25,1.25,1.25
14:37:09.608,3903.75,0.00,0.00,0.00,0.00,0.00
14:37:09.862,3905.00,-1.25,0.00,-1.25,1.25,0.00
14:37:10.210,3905.00,0.00,1.25,-1.25,0.00,-1.25
14:37:10.372,3903.75,1.25,0.00,0.00,1.25,1.25
14:37:10.634,3903.75,-1.25,0.00,1.25,0.00,-1.25
14:37:10.881,3905.00,0.00,1.25,-1.25,0.00,0.00
14:37:11.164,3906.25,-1.25,0.00,0.00,1.25,-1.25
14:37:11.391,3905.00,-1.25,1.25,-1.25,1.25,0.00
14:37:11.646,3903.75,-1.25,1.25,-1.25,1.25,-1.25
14:37:11.900,3905.00,0.00,0.00,0.00,0.00,0.00
14:37:12.205,3905.00,1.25,0.00,0.00,0.00,0.00
14:37:12.410,3906.25,0.00,1.25,0.00,0.00,0.00
14:37:12.664,3905.00,-1.25,1.25,0.00,1.25,-1.25
14:37:12.919,3905.00,0.00,1.25,-1.25,2.50,1.25
14:37:13.212,3906.25,0.00,0.00,0.00,0.00,-1.25
14:37:13.444,3905.00,-1.25,1.25,-1.25,0.00,-1.25
14:37:13.683,3906.25,1.25,0.00,-1.25,0.00,0.00
14:37:13.938,3903.75,0.00,0.00,1.25,0.00,0.00
14:37:14.206,3905.00,0.00,1.25,0.00,1.25,0.00
14:37:14.447,3905.00,0.00,1.25,-1.25,1.25,-1.25
14:37:14.702,3905.00,0.00,1.25,-1.25,1.25,-1.25
14:37:14.957,3903.75,-1.25,1.25,-2.50,1.25,0.00
14:37:15.212,3905.00,0.00,0.00,0.00,0.00,0.00
14:37:15.466,3905.00,-1.25,0.00,1.25,1.25,1.25
14:37:15.721,3905.00,0.00,1.25,0.00,1.25,0.00
14:37:15.976,3905.00,0.00,1.25,-1.25,1.25,-1.25
14:37:16.243,3905.00,1.25,0.00,-1.25,1.25,0.00
14:37:16.485,3905.00,-1.25,1.25,-1.25,1.25,0.00
14:37:16.740,3905.00,0.00,1.25,0.00,1.25,0.00
14:37:16.995,3906.25,0.00,0.00,0.00,2.50,1.25
14:37:17.249,3905.00,0.00,1.25,-1.25,1.25,0.00
14:37:17.504,3906.25,0.00,0.00,-1.25,2.50,-1.25
14:37:17.759,3905.00,0.00,1.25,-1.25,0.00,0.00
14:37:18.014,3905.00,-1.25,1.25,-1.25,1.25,0.00
14:37:18.269,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:18.523,3905.00,0.00,0.00,-1.25,1.25,-1.25
14:37:18.778,3903.75,0.00,1.25,0.00,1.25,1.25
14:37:19.036,3903.75,-1.25,1.25,-1.25,1.25,0.00
14:37:19.288,3905.00,0.00,2.50,0.00,1.25,-1.25
14:37:19.542,3903.75,-1.25,1.25,0.00,1.25,0.00
14:37:19.797,3905.00,1.25,1.25,-1.25,1.25,0.00
14:37:20.052,3905.00,0.00,1.25,0.00,1.25,1.25
14:37:20.307,3905.00,1.25,0.00,1.25,0.00,-1.25
14:37:20.561,3903.75,1.25,1.25,-1.25,2.50,0.00
14:37:20.816,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:21.071,3905.00,0.00,1.25,-1.25,0.00,0.00
14:37:21.325,3905.00,1.25,0.00,0.00,0.00,0.00
14:37:21.580,3905.00,-1.25,0.00,0.00,1.25,1.25
14:37:21.846,3905.00,-1.25,0.00,0.00,1.25,1.25
14:37:22.213,3903.75,-1.25,1.25,1.25,1.25,0.00
14:37:22.344,3905.00,0.00,0.00,0.00,1.25,0.00
14:37:22.599,3906.25,0.00,0.00,-1.25,1.25,-1.25
14:37:22.854,3905.00,0.00,1.25,-1.25,1.25,0.00
14:37:23.217,3905.00,-1.25,1.25,-1.25,0.00,1.25
14:37:23.363,3905.00,-1.25,0.00,0.00,0.00,0.00
14:37:23.618,3905.00,-1.25,1.25,-1.25,1.25,-1.25
14:37:23.873,3903.75,-1.25,0.00,-1.25,1.25,0.00
14:37:24.219,3903.75,0.00,1.25,0.00,1.25,0.00
14:37:24.382,3906.25,0.00,1.25,-1.25,1.25,0.00
14:37:24.650,3905.00,1.25,1.25,-1.25,0.00,0.00
14:37:24.892,3906.25,-2.50,1.25,0.00,0.00,0.00
14:37:25.219,3905.00,0.00,0.00,0.00,1.25,-1.25
14:37:25.401,3905.00,-1.25,2.50,0.00,1.25,1.25
14:37:25.656,3905.00,1.25,1.25,0.00,1.25,0.00
14:37:25.910,3906.25,-1.25,0.00,-1.25,0.00,0.00
14:37:26.210,3906.25,1.25,0.00,-1.25,1.25,0.00
14:37:26.440,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:26.675,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:26.929,3905.00,0.00,1.25,0.00,2.50,0.00
14:37:27.184,3905.00,-1.25,1.25,1.25,2.50,0.00
14:37:27.444,3906.25,0.00,1.25,1.25,1.25,1.25
14:37:27.694,3900.00,-1.25,1.25,0.00,3261.25,0.00
14:37:27.948,3873.75,1.25,1.25,0.00,3240.00,-1.25
14:37:28.203,3873.75,-1.25,1.25,0.00,3238.75,0.00
14:37:28.462,3895.00,0.00,1.25,-1.25,3262.50,0.00
14:37:28.713,3896.25,0.00,1.25,0.00,3260.00,-1.25
14:37:28.967,3895.00,-1.25,0.00,-1.25,3261.25,0.00
14:37:29.222,3893.75,-1.25,1.25,0.00,3261.25,0.00
14:37:29.477,3895.00,-1.25,1.25,-1.25,3263.75,0.00
14:37:29.732,3895.00,0.00,1.25,-2.50,3262.50,-1.25
14:37:29.987,3895.00,0.00,0.00,0.00,3261.25,0.00
14:37:30.254,3895.00,0.00,0.00,-2.50,3260.00,-1.25
14:37:30.497,3872.50,0.00,1.25,0.00,3238.75,-1.25
14:37:30.751,3895.00,-1.25,1.25,0.00,3260.00,1.25
14:37:31.006,3893.75,-1.25,0.00,-1.25,3261.25,0.00
14:37:31.261,3895.00,0.00,1.25,0.00,3261.25,0.00
14:37:31.516,3895.00,0.00,0.00,0.00,3261.25,1.25
14:37:31.770,3895.00,0.00,0.00,0.00,3263.75,-1.25
14:37:32.045,3892.50,1.25,1.25,-1.25,3262.50,0.00
14:37:32.280,3893.75,1.25,0.00,-1.25,3263.75,0.00
14:37:32.535,3893.75,0.00,0.00,-1.25,3262.50,1.25
14:37:32.790,3873.75,0.00,1.25,0.00,3238.75,1.25
14:37:33.044,3872.50,0.00,1.25,1.25,3237.50,0.00
14:37:33.299,3892.50,0.00,0.00,0.00,3262.50,-1.25
14:37:33.554,3893.75,0.00,1.25,0.00,3263.75,0.00
14:37:33.809,3895.00,0.00,1.25,0.00,3261.25,0.00
14:37:34.063,3893.75,0.00,1.25,0.00,3261.25,0.00
14:37:34.318,3893.75,-1.25,1.25,0.00,3261.25,0.00
