Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
12:19:23.447 -> 0.0000000,0.0000000,-17.000,306.61,0.87,-1.10,-0.63,-2.7,52.1,6.7,-27.1,-4.0,-87.4,-0.04877,0.26936,0.88977,0.36518,26.70,977.0,74.92,0,6,95.0,111,1,1,1,1,0,1,1,0,7253,-50.0,13.0
12:19:33.469 -> 0.0000000,0.0000000,-17.000,306.22,0.00,0.00,-0.02,-0.2,0.1,0.1,0.3,13.6,-89.5,0.12720,-0.02441,-0.31715,0.93951,26.84,977.0,71.27,1,6,95.0,111,1,1,1,1,0,1,1,0,2096,-49.0,10.3
12:19:43.465 -> 0.0000000,0.0000000,-17.000,306.47,0.00,0.00,0.02,0.0,0.0,0.0,6.2,11.7,-90.1,0.12995,0.01746,0.08942,0.98730,26.22,977.0,55.26,2,6,95.0,111,1,1,1,1,0,1,1,0,5902,-49.0,10.3
12:19:53.461 -> 0.0000000,0.0000000,-17.000,306.77,-0.02,0.00,-0.01,0.1,-0.2,0.0,6.2,11.7,-88.9,0.13007,0.01764,0.09723,0.98657,25.99,976.9,50.15,3,6,95.0,111,1,1,1,1,0,1,1,0,39323,-49.0,10.5
12:20:04.331 -> 0.0000000,0.0000000,-17.000,306.61,0.01,0.00,0.00,0.1,0.0,0.0,5.5,12.4,-89.3,0.13056,0.01337,0.06970,0.98889,25.87,977.0,48.16,4,6,95.0,111,1,1,1,1,0,1,1,0,62657,-49.0,10.5
12:20:14.343 -> 0.0000000,0.0000000,-17.000,307.10,0.00,0.00,-0.02,0.0,0.0,0.0,5.1,12.8,-89.3,0.13038,0.01532,0.08301,0.98785,25.84,976.9,47.43,5,6,95.0,111,1,1,1,1,0,1,1,0,2099,-49.0,10.8
12:20:27.526 -> 0.0000000,0.0000000,-17.000,307.27,0.00,0.00,0.03,0.1,-0.1,0.0,5.5,13.6,-90.1,0.13038,0.01532,0.08301,0.98785,25.86,976.9,47.02,6,6,95.0,111,1,1,1,1,0,1,1,0,52537,-49.0,9.8
12:20:37.496 -> 0.0000000,0.0000000,-17.000,307.75,0.00,0.00,-0.03,0.0,0.0,0.0,5.8,12.8,-89.3,0.13025,0.01544,0.08606,0.98761,25.84,976.8,46.80,7,6,95.0,111,1,1,1,1,0,1,1,0,36719,-48.0,11.0
12:20:47.503 -> 0.0000000,0.0000000,-17.000,307.68,0.00,-0.01,0.01,0.0,0.0,0.1,5.8,12.8,-86.9,0.13062,0.01227,0.06159,0.98944,25.80,976.8,46.72,8,6,95.0,111,1,1,1,1,0,1,1,0,5165,-48.0,11.0
12:20:57.501 -> 0.0000000,0.0000000,-17.000,307.79,0.00,0.00,0.02,0.2,0.0,-0.1,5.5,13.6,-89.4,0.12976,0.01642,0.09357,0.98700,25.82,976.8,46.64,9,6,94.5,111,1,1,1,1,0,1,1,0,47032,-49.0,10.5
12:21:07.496 -> 0.0000000,0.0000000,-17.000,307.71,0.00,0.00,-0.03,0.0,0.0,0.0,6.2,12.4,-90.1,0.12983,0.01679,0.09589,0.98675,25.84,976.8,46.53,10,6,94.5,111,1,1,1,1,0,1,1,0,29316,-49.0,10.3
12:21:20.409 -> 0.0000000,0.0000000,-17.000,307.93,0.00,0.00,-0.03,0.0,0.0,0.0,6.2,11.7,-89.0,0.13031,0.01526,0.08539,0.98767,25.90,976.8,46.39,11,6,94.5,111,1,1,1,1,0,1,1,0,48313,-48.0,10.8
12:21:30.417 -> 0.0000000,0.0000000,-17.000,307.89,0.00,0.00,0.00,0.0,0.0,0.0,6.2,12.4,-88.6,0.13013,0.01605,0.09076,0.98718,25.93,976.8,46.25,12,6,94.5,111,1,1,1,1,0,1,1,0,7440,-49.0,11.0
12:21:40.427 -> 0.0000000,0.0000000,-17.000,308.01,0.00,-0.03,0.00,0.0,0.0,0.0,5.8,12.4,-89.4,0.12989,0.01563,0.08856,0.98743,25.97,976.8,46.15,13,6,94.5,111,1,1,1,1,0,1,1,0,2917,-49.0,10.0
12:21:53.522 -> 0.0000000,0.0000000,-17.000,308.21,0.00,0.00,0.01,0.1,0.0,0.1,5.1,12.1,-89.4,0.12989,0.01563,0.08856,0.98743,25.95,976.8,46.06,14,6,94.5,111,1,1,1,1,0,1,1,0,45538,-48.0,10.3
12:22:03.545 -> 0.0000000,0.0000000,-17.000,308.14,-0.01,0.00,-0.03,0.0,0.0,0.0,5.5,12.8,-89.4,0.13019,0.01556,0.08704,0.98755,25.96,976.8,46.02,15,6,94.5,111,1,1,1,1,0,1,1,0,46466,-49.0,11.0
