14:22:46.420 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
14:22:46.420 -> 0.0000000,0.0000000,-17.000,318.01,0.00,0.00,0.02,-0.1,0.1,0.1,-29.7,15.0,-134.8,0.09461,-0.00183,-0.37324,0.92291,26.54,975.6,47.20,3,6,82.0,111,1,1,1,1,0,1,1,0,420,-60.0,10.5
14:22:55.416 -> 0.0000000,0.0000000,-17.000,318.12,0.00,0.00,0.03,0.0,0.0,0.0,-30.1,15.4,-134.4,0.09436,-0.00281,-0.38221,0.91925,26.43,975.6,45.77,4,6,82.0,111,1,1,1,1,0,1,1,0,44006,-55.0,10.3
14:23:05.424 -> 0.0000000,0.0000000,-17.000,318.57,-0.01,0.00,0.00,0.0,0.0,0.0,-29.7,16.1,-134.9,0.09436,-0.00281,-0.38289,0.91894,26.43,975.6,45.79,5,6,82.0,111,1,1,1,1,0,1,1,0,63330,-61.0,10.5
14:23:15.424 -> 0.0000000,0.0000000,-17.000,318.40,-0.02,0.00,0.00,0.0,0.0,0.0,-30.8,15.8,-134.4,0.09424,-0.00330,-0.38301,0.91894,26.42,975.6,45.07,6,6,82.0,111,1,1,1,1,0,1,1,0,54877,-61.0,10.3
14:23:28.427 -> 0.0000000,0.0000000,-17.000,318.34,0.01,-0.03,-0.02,0.0,0.0,0.0,-30.8,16.5,-136.0,0.09412,-0.00287,-0.37580,0.92193,26.38,975.6,44.52,7,6,82.0,111,1,1,1,1,0,1,1,0,27835,-60.0,10.5
14:23:38.451 -> 0.0000000,0.0000000,-17.000,318.36,-0.02,0.00,0.03,0.0,-0.1,0.0,-30.4,14.6,-135.2,0.09406,-0.00275,-0.37703,0.92145,26.41,975.6,44.29,8,6,82.0,111,1,1,1,1,0,1,1,0,5314,-60.0,9.8
14:23:48.481 -> 0.0000000,0.0000000,-17.000,318.49,0.00,0.00,-0.01,0.0,0.0,0.0,-30.1,15.4,-133.6,0.09369,-0.00336,-0.37800,0.92108,26.40,975.6,44.10,9,6,82.0,111,1,1,1,1,0,1,1,0,17774,-60.0,10.0
14:23:57.460 -> 0.0000000,0.0000000,-17.000,318.31,0.01,0.00,0.00,0.0,0.0,0.0,-30.8,14.6,-135.1,0.09394,-0.00250,-0.36848,0.92486,26.39,975.6,43.99,10,6,82.0,111,1,1,1,1,0,1,1,0,58248,-60.0,10.3
14:24:06.470 -> 0.0000000,0.0000000,-17.000,318.52,0.01,-0.01,0.00,0.0,0.0,0.0,-30.8,15.0,-133.1,0.09418,-0.00293,-0.37385,0.92267,26.37,975.6,43.96,11,6,82.0,111,1,1,1,1,0,1,1,0,27445,-59.0,10.0
14:24:16.480 -> 0.0000000,0.0000000,-17.000,318.84,-0.04,-0.01,0.00,0.0,0.0,0.0,-30.4,15.4,-134.8,0.09406,-0.00378,-0.37660,0.92157,26.35,975.5,43.91,12,6,82.0,111,1,1,1,1,0,1,1,0,51319,-60.0,9.8
14:24:26.488 -> 0.0000000,0.0000000,-17.000,318.71,0.00,0.00,-0.02,0.0,0.0,-0.1,-30.8,16.1,-134.8,0.09375,-0.00330,-0.37367,0.92285,26.37,975.6,43.86,13,6,82.0,111,1,1,1,1,0,1,1,0,39509,-61.0,11.5
14:24:39.504 -> 0.0000000,0.0000000,-17.000,318.44,0.00,0.00,-0.01,0.0,0.0,-0.1,-29.7,17.2,-134.8,0.09375,-0.00330,-0.37367,0.92285,26.37,975.6,43.84,14,6,82.0,111,1,1,1,1,0,1,1,0,51632,-61.0,11.3
14:24:49.499 -> 0.0000000,0.0000000,-17.000,318.74,0.00,0.00,-0.01,-0.2,0.0,0.0,-30.8,15.8,-135.6,0.09375,-0.00409,-0.38240,0.91925,26.38,975.5,43.78,15,6,82.0,111,1,1,1,1,0,1,1,0,43404,-60.0,9.3
14:24:58.516 -> 0.0000000,0.0000000,-17.000,318.97,0.01,0.00,-0.02,0.0,0.0,0.0,-30.4,16.1,-135.6,0.09394,-0.00281,-0.37117,0.92383,26.37,975.5,43.71,16,6,82.0,111,1,1,1,1,0,1,1,0,46234,-61.0,9.3
14:25:08.531 -> 0.0000000,0.0000000,-17.000,318.73,0.00,0.00,-0.02,0.0,0.0,0.0,-30.1,15.8,-134.8,0.09412,-0.00269,-0.36976,0.92438,26.40,975.5,43.66,17,6,82.0,111,1,1,1,1,0,1,1,0,62945,-59.0,13.0
14:25:17.544 -> 0.0000000,0.0000000,-17.000,319.08,0.00,-0.01,0.02,0.0,0.0,0.0,-29.7,16.8,-135.1,0.09387,-0.00378,-0.37666,0.92157,26.39,975.5,43.69,18,6,82.0,111,1,1,1,1,0,1,1,0,45676,-60.0,10.3
14:25:27.556 -> 0.0000000,0.0000000,-17.000,319.02,0.00,0.00,-0.01,0.0,0.0,0.0,-29.7,16.8,-134.8,0.09381,-0.00305,-0.36946,0.92450,26.40,975.5,43.60,19,6,82.0,111,1,1,1,1,0,1,1,0,1000,-60.0,10.5
14:25:37.556 -> 0.0000000,0.0000000,-17.000,319.32,0.01,0.00,-0.01,0.0,0.0,0.0,-30.8,15.8,-134.8,0.09394,-0.00293,-0.36946,0.92450,26.38,975.5,43.59,20,6,82.0,111,1,1,1,1,0,1,1,0,27409,-56.0,12.5
14:25:46.571 -> 0.0000000,0.0000000,-17.000,319.05,0.00,0.00,0.03,0.0,0.0,0.0,-29.7,15.0,-133.6,0.09387,-0.00269,-0.36775,0.92517,26.43,975.5,43.80,21,6,82.0,111,1,1,1,1,0,1,1,0,14635,-56.0,13.0
14:25:57.260 -> 0.0000000,0.0000000,-17.000,319.45,0.00,0.00,-0.01,0.0,0.0,0.0,-30.8,15.0,-135.6,0.09381,-0.00336,-0.37196,0.92346,26.48,975.5,43.78,22,6,81.5,111,1,1,1,1,0,1,1,0,58827,-56.0,13.3
14:26:06.437 -> 0.0000000,0.0000000,-17.000,319.37,0.00,0.00,-0.01,0.0,0.0,0.0,-30.1,15.4,-135.3,0.09369,-0.00336,-0.37208,0.92346,26.50,975.5,43.59,23,6,81.5,111,1,1,1,1,0,1,1,0,14823,-56.0,12.5
