00:44:13.005 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
00:44:25.864 -> 0.0000000,0.0000000,-17.000,318.37,0.04,-0.02,0.00,0.0,0.0,0.0,14.1,-48.3,-66.1,0.05292,-0.01111,0.97632,0.20960,27.01,975.6,49.26,78,3,63.5,111,1,1,1,1,0,1,1,0,48042,-53.7,-0.8
00:44:36.999 -> 0.0000000,0.0000000,-17.000,335.89,0.12,0.05,-0.20,-0.9,3.1,-4.5,17.4,-25.3,-10.1,0.04675,0.40974,0.79821,0.43910,31.73,973.6,36.23,0,7,61.5,111,1,1,1,1,0,1,1,0,40369,-62.0,13.3
00:44:37.860 -> 0.0000000,0.0000000,-17.000,318.34,0.00,-0.01,-0.02,0.1,0.0,0.1,13.7,-47.3,-65.7,0.05329,-0.01019,0.97754,0.20374,27.06,975.6,49.64,79,3,63.5,111,1,1,1,1,0,1,1,0,31378,-62.0,13.5
00:44:40.854 -> 0.0000000,0.0000000,-17.000,340.51,0.01,0.00,-0.04,0.2,1.0,0.0,-21.7,-47.5,-71.3,0.02008,0.00012,-0.97656,0.21424,27.53,973.0,39.74,5,4,33.0,111,1,1,1,1,0,1,1,0,58936,-66.0,12.8
00:44:47.941 -> 0.0000000,0.0000000,-17.000,335.55,0.01,-0.01,0.38,-11.2,1.8,5.8,2.1,-31.6,-14.2,0.14002,0.35530,0.86676,0.32075,32.42,973.6,38.13,1,7,61.5,111,1,1,1,1,0,1,1,0,48657,-62.0,12.5
00:44:50.849 -> 0.0000000,0.0000000,-17.000,318.52,0.00,-0.01,-0.01,0.1,-0.2,0.0,14.1,-48.7,-66.9,0.05249,-0.01050,0.97754,0.20392,27.11,975.6,49.96,80,3,63.5,111,1,1,1,1,0,1,1,0,58357,-63.0,13.5
00:44:55.853 -> 0.0000000,0.0000000,-17.000,340.53,0.00,0.00,0.00,0.1,-0.1,-0.1,-22.1,-49.0,-72.9,0.02008,0.00012,-0.97656,0.21424,27.56,973.0,40.54,6,4,33.0,111,1,1,1,1,0,1,1,0,26766,-68.0,12.8
00:44:58.999 -> 0.0000000,0.0000000,-17.000,335.64,0.17,0.00,0.03,-29.9,31.1,-54.5,2.8,-27.4,-28.9,0.07117,0.22614,0.95044,0.20118,32.87,973.6,42.98,2,7,61.5,111,1,1,1,1,0,1,1,0,591,-59.0,9.8
00:45:01.852 -> 0.0000000,0.0000000,-17.000,318.60,0.00,-0.02,0.00,0.0,0.0,0.0,13.7,-49.0,-66.1,0.05249,-0.01025,0.97772,0.20295,27.18,975.6,49.88,81,3,63.5,111,1,1,1,1,0,1,1,0,31490,-60.0,10.8
00:45:10.859 -> 0.0000000,0.0000000,-17.000,340.43,0.00,0.00,0.00,0.0,0.0,0.0,-20.2,-47.5,-71.3,0.02008,0.00012,-0.97656,0.21424,27.60,973.0,39.93,7,4,33.0,111,1,1,1,1,0,1,1,0,56974,-65.0,10.0
00:45:12.849 -> 0.0000000,0.0000000,-17.000,318.65,0.00,-0.02,0.00,0.1,0.0,-0.1,14.4,-49.4,-64.6,0.05292,-0.01019,0.97803,0.20148,27.18,975.6,50.23,82,3,63.5,111,1,1,1,1,0,1,1,0,22209,-60.0,10.3
00:45:16.088 -> 0.0000000,0.0000000,-17.000,335.54,0.00,-0.01,-0.03,0.0,0.0,0.0,13.9,-14.1,-38.1,0.00000,0.00000,0.00000,1.00000,32.21,973.6,34.09,0,7,58.5,103,1,1,1,0,0,1,1,0,55407,-54.0,9.8
