15:55:20.823 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
15:55:41.997 -> 0.0000000,0.0000000,-17.000,254.31,0.00,0.00,-0.01,0.0,0.0,0.0,2.1,20.1,24.9,0.00037,-0.01904,-0.56798,0.82281,35.32,983.1,23.61,3,7,48.0,111,1,1,1,1,0,1,1,0,53931,-45.0,13.0
15:56:20.823 -> 0.0000000,0.0000000,-17.000,247.19,0.04,0.03,-0.02,-0.3,-1.6,1.5,131.9,-14.5,-33.1,0.00000,0.00000,0.00000,1.00000,28.59,983.9,45.06,0,2,62.0,103,1,1,1,0,0,1,1,0,57551,-82.0,12.8
15:56:40.838 -> 0.0000000,0.0000000,-17.000,247.06,0.13,0.00,-0.09,-0.9,-3.1,-7.1,18.2,5.9,-42.3,0.16120,0.31123,-0.44191,0.82574,28.52,983.9,45.29,0,2,60.0,111,1,1,1,1,0,1,1,0,52756,-72.0,13.8
15:56:42.845 -> 0.0000000,0.0000000,-17.000,254.40,0.00,0.00,-0.05,0.0,0.0,0.0,2.1,20.1,24.9,0.01160,-0.01514,0.03308,0.99927,35.98,983.1,22.77,4,7,48.0,111,1,1,1,1,0,1,1,0,57733,-44.0,12.8
15:57:12.895 -> 0.0000000,0.0000000,-17.000,247.01,0.00,0.00,0.00,0.1,-0.2,0.1,22.3,209.8,-389.8,-0.01270,-0.02435,-0.84277,0.53752,28.48,983.9,44.71,1,2,60.0,111,1,1,1,1,0,1,1,0,10082,-60.0,10.3
15:57:43.819 -> 0.0000000,0.0000000,-17.000,254.07,0.00,0.00,0.00,0.0,0.0,0.0,2.1,20.1,24.9,0.01166,-0.01550,0.03302,0.99927,37.62,983.1,20.92,5,7,48.0,111,1,1,1,1,0,1,1,0,24441,-47.0,12.8
15:57:47.009 -> 0.0000000,0.0000000,-17.000,246.97,-0.01,0.00,0.00,0.0,0.0,0.0,22.7,210.4,-390.1,0.02692,-0.00604,0.73614,0.67626,28.32,983.9,43.60,2,2,60.0,111,1,1,1,1,0,1,1,0,61092,-62.0,13.5
15:58:19.019 -> 0.0000000,0.0000000,-17.000,246.83,-0.02,0.00,0.00,0.0,0.0,0.0,22.7,210.4,-390.2,0.02734,-0.00653,0.73601,0.67638,28.17,984.0,42.88,3,2,60.0,111,1,1,1,1,0,1,1,0,51444,-62.0,13.3
15:58:44.855 -> 0.0000000,0.0000000,-17.000,254.37,0.02,0.00,-0.01,0.0,0.0,0.0,2.1,20.1,24.9,0.01147,-0.01605,0.03223,0.99927,37.05,983.1,21.39,6,7,48.0,111,1,1,1,1,0,1,1,0,29327,-46.0,12.8
15:58:50.831 -> 0.0000000,0.0000000,-17.000,247.00,-0.02,0.04,0.00,0.0,0.0,0.0,23.1,210.1,-389.5,0.02771,-0.00684,0.73498,0.67742,28.07,983.9,42.48,4,2,60.0,111,1,1,1,1,0,1,1,0,53612,-62.0,13.0
