Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
15:03:40.922 -> 0.0000000,0.0000000,-17.000,260.67,0.08,-0.68,0.26,0.4,0.9,2.1,-30.5,-4.1,-65.6,0.14393,0.01672,-0.17804,0.97333,35.23,982.3,65.89,0,2,85.5,111,1,1,1,1,0,1,1,0,11110,-57.0,13.0
15:03:53.921 -> 0.0000000,0.0000000,-17.000,261.62,0.30,-0.15,0.09,0.2,-0.2,1.5,-11.3,14.7,-103.4,0.14393,0.01672,-0.17804,0.97333,36.57,982.2,48.45,1,2,85.5,111,1,1,1,1,0,1,1,0,8943,-83.0,13.0
15:04:03.923 -> 0.0000000,0.0000000,-17.000,262.38,-0.01,0.02,0.03,0.0,0.0,0.0,-18.4,7.5,-107.9,-0.01758,0.00238,-0.80547,0.59233,36.53,982.1,24.21,2,2,85.5,111,1,1,1,1,0,1,1,0,61674,-65.0,11.5
15:04:12.930 -> 0.0000000,0.0000000,-17.000,262.93,0.00,0.02,0.03,0.0,0.0,0.0,-17.7,8.6,-106.9,-0.01440,-0.00909,-0.55596,0.83099,36.36,982.1,21.74,3,2,85.5,111,1,1,1,1,0,1,1,0,17119,-65.0,10.8
15:04:21.936 -> 0.0000000,0.0000000,-17.000,263.61,0.00,0.01,0.00,0.0,0.0,0.0,-19.2,7.1,-107.0,-0.01434,-0.00928,-0.56694,0.82354,36.05,982.0,21.36,4,2,85.5,111,1,1,1,1,0,1,1,0,32324,-78.0,13.3
15:04:31.943 -> 0.0000000,0.0000000,-17.000,264.33,0.00,0.02,-0.01,0.0,0.0,0.0,-18.4,8.6,-108.8,-0.01410,-0.00958,-0.55205,0.83361,35.53,981.9,20.20,5,2,85.5,111,1,1,1,1,0,1,1,0,49943,-67.0,12.8
15:04:39.184 -> counter
15:04:48.584 -> 0.0000000,0.0000000,-17.000,264.46,0.00,0.01,0.00,0.0,0.0,0.0,-18.8,7.9,-107.6,0.00000,0.00000,0.00000,1.00000,34.73,981.9,21.22,0,2,83.0,103,1,1,1,0,0,1,1,0,50937,-64.0,13.0
15:04:58.592 -> 0.0000000,0.0000000,-17.000,264.41,0.00,0.00,-0.01,0.0,0.0,0.0,-17.7,8.6,-108.3,-0.01373,-0.00970,-0.55284,0.83312,34.26,981.9,23.21,1,2,83.0,111,1,1,1,1,0,1,1,0,26802,-64.0,13.0
15:05:08.598 -> 0.0000000,0.0000000,-17.000,265.12,0.00,0.00,0.00,0.0,0.0,0.0,-18.8,7.9,-107.1,-0.01392,-0.00958,-0.56304,0.82623,33.72,981.8,22.13,2,2,83.0,111,1,1,1,1,0,1,1,0,7192,-64.0,12.5
15:05:26.247 -> 0.0000000,0.0000000,-17.000,265.09,0.00,0.00,0.00,-0.1,-0.1,-0.2,-18.4,7.5,-108.9,0.00000,0.00000,0.00000,1.00000,32.91,981.8,22.73,0,2,82.5,103,1,1,1,0,0,1,1,0,18619,-63.0,12.5
15:05:36.260 -> 0.0000000,0.0000000,-17.000,264.85,0.00,0.00,0.00,0.0,0.0,0.0,-18.0,6.8,-108.0,-0.01392,-0.00946,-0.56951,0.82177,32.52,981.8,22.91,1,2,82.5,111,1,1,1,1,0,1,1,0,29785,-64.0,12.8
15:05:46.269 -> 0.0000000,0.0000000,-17.000,264.69,0.00,0.00,0.00,0.0,0.0,0.0,-18.4,8.6,-106.9,-0.01392,-0.00964,-0.56230,0.82672,32.13,981.9,23.55,2,2,82.5,111,1,1,1,1,0,1,1,0,63286,-65.0,10.8
15:05:56.280 -> 0.0000000,0.0000000,-17.000,265.00,-0.01,0.00,0.00,0.0,0.0,0.0,-18.8,8.6,-107.1,-0.01410,-0.00958,-0.57476,0.81817,31.76,981.8,24.54,3,2,82.5,111,1,1,1,1,0,1,1,0,8789,-66.0,10.0
