Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:05:17.095 -> 0.0000000,0.0000000,-17.000,260.84,-0.44,0.43,-2.73,28.8,23.1,-29.7,14.2,-45.7,-58.6,-0.05719,0.27815,0.92486,0.25288,33.90,982.3,41.41,0,5,86.5,111,1,1,1,1,0,1,1,0,31468,-54.0,12.8
21:05:30.106 -> 0.0000000,0.0000000,-17.000,260.25,0.00,0.01,0.00,0.0,0.0,0.0,39.7,-27.7,-96.9,-0.05719,0.27815,0.92486,0.25288,33.70,982.4,34.66,1,5,86.5,111,1,1,1,1,0,1,1,0,54433,-54.0,10.5
21:05:46.811 -> 0.0000000,0.0000000,-17.000,260.56,0.00,0.00,0.00,-0.2,-0.1,0.1,39.7,-26.6,-96.8,-0.01373,-0.00403,0.87902,0.47658,32.65,982.3,32.38,0,5,86.0,111,1,1,1,1,0,1,1,0,25606,-54.0,10.0
21:05:56.827 -> 0.0000000,0.0000000,-17.000,260.84,0.00,0.00,0.00,0.0,0.0,0.0,40.1,-26.9,-97.4,-0.01349,-0.00458,0.90051,0.43464,32.13,982.3,32.52,1,5,86.0,111,1,1,1,1,0,1,1,0,45085,-54.0,11.0
21:06:06.839 -> LoRa PHY CRC error: corrupted packet discarded.
21:06:13.791 -> 0.0000000,0.0000000,-17.000,261.08,-0.03,-0.01,0.00,0.0,0.0,0.0,40.0,-28.4,-96.0,-0.01343,-0.00336,0.88629,0.46290,31.33,982.3,33.32,0,5,85.5,111,1,1,1,1,0,1,1,0,10472,-55.0,9.8
21:06:23.805 -> 0.0000000,0.0000000,-17.000,260.92,0.01,0.01,0.00,0.1,0.1,0.0,40.8,-28.4,-98.1,-0.01318,-0.00299,0.89984,0.43605,31.02,982.3,33.76,1,5,85.5,111,1,1,1,1,0,1,1,0,36658,-56.0,9.8
21:06:33.820 -> 0.0000000,0.0000000,-17.000,260.91,-0.01,0.00,0.00,0.1,0.1,-0.2,40.0,-28.0,-97.9,-0.01312,-0.00299,0.89978,0.43611,30.79,982.3,34.08,2,5,85.5,111,1,1,1,1,0,1,1,0,4145,-55.0,10.0
21:06:53.539 -> 0.0000000,0.0000000,-17.000,260.44,-0.01,0.01,0.00,0.0,0.0,0.1,40.8,-28.4,-97.9,-0.01392,-0.00208,0.88110,0.47267,30.29,982.4,34.81,0,5,85.0,111,1,1,1,1,0,1,1,0,53401,-55.0,9.8
21:07:03.556 -> 0.0000000,0.0000000,-17.000,260.97,-0.01,0.00,0.00,0.0,0.0,0.0,39.6,-29.9,-97.5,-0.01386,-0.00238,0.90191,0.43178,30.12,982.3,35.10,1,5,85.0,111,1,1,1,1,0,1,1,0,29636,-56.0,2.2
21:07:16.605 -> 0.0000000,0.0000000,-17.000,261.16,0.04,0.00,0.00,0.0,0.0,0.0,39.9,-27.6,-97.4,-0.01386,-0.00238,0.90191,0.43178,29.92,982.3,35.41,2,5,85.0,111,1,1,1,1,0,1,1,0,52087,-56.0,10.0
21:07:26.614 -> 0.0000000,0.0000000,-17.000,261.04,0.00,0.00,0.00,0.0,0.0,0.0,39.9,-28.0,-98.1,-0.01410,-0.00238,0.90399,0.42726,29.67,982.3,35.67,3,5,85.0,111,1,1,1,1,0,1,1,0,15884,-55.0,9.8
