Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
18:23:31.896 -> 0.0000000,0.0000000,-17.000,265.38,-0.02,0.02,0.00,-0.1,-0.2,0.1,-5.6,-85.7,-91.8,-0.01154,-0.07514,-0.99695,0.01807,26.87,981.8,34.86,15,2,88.0,111,1,1,1,1,0,1,1,0,5089,-57.0,13.3
18:23:41.908 -> 0.0000000,0.0000000,-17.000,265.54,0.00,0.02,0.00,0.2,0.0,0.0,-5.6,-87.2,-91.9,-0.01154,-0.07520,-0.99695,0.01807,26.94,981.8,34.07,16,2,88.0,111,1,1,1,1,0,1,1,0,21192,-52.0,13.5
18:23:52.926 -> 0.0000000,0.0000000,-17.000,265.51,0.02,0.01,0.00,0.0,0.0,0.0,-5.2,-86.4,-93.1,-0.01068,-0.07514,-0.99683,0.02496,27.02,981.8,34.33,17,2,88.0,111,1,1,1,1,0,1,1,0,50648,-52.0,13.0
18:24:02.941 -> 0.0000000,0.0000000,-17.000,265.48,-0.01,0.01,-0.03,0.0,0.0,0.0,-6.7,-87.2,-93.9,-0.01086,-0.07538,-0.99683,0.02350,27.06,981.8,35.63,18,2,88.0,111,1,1,1,1,0,1,1,0,20597,-55.0,12.0
18:24:15.953 -> 0.0000000,0.0000000,-17.000,265.49,0.00,-0.01,0.01,0.0,0.0,0.0,28.1,-82.8,30.1,-0.01086,-0.07538,-0.99683,0.02350,27.49,981.8,36.22,19,2,88.0,111,1,1,1,1,0,1,1,0,17205,-57.0,13.0
18:24:24.967 -> 0.0000000,0.0000000,-17.000,265.61,-0.03,0.00,0.01,0.0,0.0,0.0,27.3,-83.4,29.8,0.14576,0.56987,0.78582,0.19098,27.27,981.8,32.88,20,2,88.0,111,1,1,1,1,0,1,1,0,32258,-58.0,12.8
18:24:34.977 -> 0.0000000,0.0000000,-17.000,265.51,0.01,-0.01,0.00,0.0,0.0,0.0,27.7,-83.4,32.1,0.14515,0.56993,0.78613,0.19007,27.14,981.8,32.37,21,2,88.0,111,1,1,1,1,0,1,1,0,2411,-57.0,13.0
18:24:44.987 -> 0.0000000,0.0000000,-17.000,265.71,0.01,-0.01,0.02,0.0,0.0,0.0,27.7,-83.4,32.9,0.14667,0.56963,0.78545,0.19245,27.10,981.7,32.32,22,2,88.0,111,1,1,1,1,0,1,1,0,19151,-59.0,13.0
18:24:54.996 -> 0.0000000,0.0000000,-17.000,265.74,0.00,-0.01,0.01,0.0,0.0,0.0,24.3,-81.9,31.7,0.14594,0.56975,0.78582,0.19111,27.06,981.7,32.15,23,2,88.0,111,1,1,1,1,0,1,1,0,56640,-54.0,13.0
18:25:05.006 -> 0.0000000,0.0000000,-17.000,265.60,0.00,0.00,-0.04,0.0,0.0,0.0,29.2,-83.4,30.9,0.15131,0.56816,0.78423,0.19800,26.95,981.8,32.94,24,2,88.0,111,1,1,1,1,0,1,1,0,58580,-54.0,10.8
