19:22:00.244 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
19:22:04.992 -> 0.0000000,0.0000000,-17.000,256.32,0.01,0.01,-0.02,0.1,0.0,-0.1,53.4,-47.0,-68.2,-0.02203,0.00024,0.91913,0.39338,28.56,982.8,39.87,1,5,26.0,111,1,1,1,1,0,1,1,0,35150,-64.0,13.0
19:22:15.011 -> 0.0000000,0.0000000,-17.000,256.50,-0.02,0.00,0.00,0.2,0.1,0.1,53.8,-47.8,-68.1,-0.02210,0.00031,0.92224,0.38606,28.24,982.8,38.48,2,5,26.0,111,1,1,1,1,0,1,1,0,30459,-62.0,13.3
19:22:28.026 -> 0.0000000,0.0000000,-17.000,256.70,0.01,0.00,-0.01,0.3,0.0,0.0,51.9,-49.6,-68.1,-0.02210,0.00031,0.92224,0.38606,27.98,982.8,40.34,3,5,26.0,111,1,1,1,1,0,1,1,0,31815,-60.0,10.5
19:22:38.041 -> 0.0000000,0.0000000,-17.000,256.28,0.00,0.00,-0.02,0.0,0.0,0.0,3.7,-75.4,-2.0,0.21430,0.55754,0.74017,0.30879,27.93,982.8,41.55,4,5,26.0,111,1,1,1,1,0,1,1,0,63700,-52.0,13.0
19:22:48.058 -> 0.0000000,0.0000000,-17.000,256.26,0.00,0.01,0.04,0.0,0.0,0.0,2.2,-75.4,-3.6,-0.00043,0.59844,0.80084,0.02258,27.65,982.8,39.35,5,5,26.0,111,1,1,1,1,0,1,1,0,39559,-58.0,13.3
19:22:58.077 -> 0.0000000,0.0000000,-17.000,256.45,0.00,0.00,0.01,0.0,0.0,0.0,1.8,-75.4,-3.2,-0.00043,0.59844,0.80084,0.02258,27.50,982.8,39.07,6,5,26.0,111,1,1,1,1,0,1,1,0,22978,-56.0,13.3
19:23:08.095 -> 0.0000000,0.0000000,-17.000,256.15,0.00,0.00,0.00,0.0,0.0,0.0,1.8,-74.9,-2.0,0.01886,0.59819,0.79962,0.04828,27.43,982.9,39.30,7,5,26.0,111,1,1,1,1,0,1,1,0,42658,-56.0,12.5
19:23:18.114 -> 0.0000000,0.0000000,-17.000,256.10,0.00,0.01,-0.02,-0.1,0.0,0.0,2.6,-74.2,-3.6,0.02100,0.59807,0.79949,0.05152,27.40,982.9,39.50,8,5,26.0,111,1,1,1,1,0,1,1,0,2603,-56.0,12.3
19:23:29.136 -> 0.0000000,0.0000000,-17.000,256.28,0.00,0.00,0.00,-0.2,0.1,0.1,2.6,-74.6,-4.0,0.00519,0.59844,0.80059,0.03003,27.35,982.8,39.35,9,5,26.0,111,1,1,1,1,0,1,1,0,42339,-56.0,11.8
19:23:39.155 -> 0.0000000,0.0000000,-17.000,256.18,0.00,0.00,-0.02,0.0,-0.1,0.1,2.2,-74.9,-3.2,0.00720,0.59825,0.80059,0.03278,27.29,982.9,39.44,10,5,26.0,111,1,1,1,1,0,1,1,0,8496,-56.0,10.8
