21:14:42.321 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
21:14:54.953 -> 0.0000000,0.0000000,-17.000,262.02,0.00,0.00,0.04,0.1,0.1,0.0,77.5,-17.6,-138.1,-0.01007,0.00317,0.84533,0.53410,28.85,982.2,49.49,0,6,60.5,111,1,1,1,1,0,1,1,0,39472,-64.0,13.3
21:15:04.964 -> 0.0000000,0.0000000,-17.000,261.70,-0.01,0.00,0.00,0.0,0.0,0.0,78.6,-18.0,-137.5,-0.01160,0.00409,0.78961,0.61345,28.30,982.2,39.91,1,6,60.5,111,1,1,1,1,0,1,1,0,63170,-61.0,12.8
21:15:14.982 -> 0.0000000,0.0000000,-17.000,262.03,0.00,0.00,-0.01,0.0,0.0,0.0,78.2,-17.3,-138.2,-0.01178,0.00397,0.79131,0.61126,27.98,982.2,37.57,2,6,60.5,111,1,1,1,1,0,1,1,0,18588,-62.0,13.5
21:15:25.000 -> 0.0000000,0.0000000,-17.000,261.79,0.00,0.00,0.00,0.0,0.0,0.0,77.8,-16.5,-136.8,-0.01172,0.00403,0.78912,0.61406,27.73,982.2,37.16,3,6,60.5,111,1,1,1,1,0,1,1,0,14916,-62.0,13.5
21:15:35.015 -> 0.0000000,0.0000000,-17.000,261.77,0.00,0.01,0.00,-0.1,-0.1,0.0,78.2,-16.9,-138.3,-0.01178,0.00397,0.78631,0.61773,27.55,982.2,37.17,4,6,60.5,111,1,1,1,1,0,1,1,0,8599,-63.0,13.0
21:15:45.035 -> 0.0000000,0.0000000,-17.000,262.04,-0.01,0.00,0.00,0.0,0.0,0.0,77.8,-16.9,-137.0,-0.01147,0.00385,0.78753,0.61608,27.46,982.2,37.24,5,6,60.5,111,1,1,1,1,0,1,1,0,32028,-61.0,12.3
21:15:55.050 -> 0.0000000,0.0000000,-17.000,262.22,0.00,0.00,0.00,0.0,0.0,0.0,78.6,-15.0,-140.9,-0.01141,0.00397,0.78588,0.61821,27.42,982.1,38.53,6,6,60.5,111,1,1,1,1,0,1,1,0,4874,-60.0,10.0
21:16:08.067 -> 0.0000000,0.0000000,-17.000,262.00,0.00,0.00,0.00,0.0,0.0,0.0,80.4,-16.5,-139.4,-0.01141,0.00397,0.78588,0.61821,27.44,982.2,40.17,7,6,60.5,111,1,1,1,1,0,1,1,0,27578,-60.0,10.0
21:16:18.081 -> 0.0000000,0.0000000,-17.000,261.76,0.03,-0.01,0.00,0.0,0.0,0.0,77.1,-17.9,-137.4,-0.01172,0.00403,0.78643,0.61754,27.43,982.2,40.62,8,6,60.5,111,1,1,1,1,0,1,1,0,28901,-62.0,13.3
21:16:28.098 -> 0.0000000,0.0000000,-17.000,261.95,0.00,0.01,0.00,0.0,0.0,0.0,78.6,-16.9,-137.4,-0.01190,0.00366,0.78668,0.61724,27.35,982.2,38.90,9,6,60.5,111,1,1,1,1,0,1,1,0,29563,-61.0,13.3
21:16:38.111 -> 0.0000000,0.0000000,-17.000,261.91,0.00,0.00,0.00,0.0,0.0,0.0,77.8,-16.9,-138.8,-0.01147,0.00385,0.78790,0.61565,27.23,982.2,38.19,10,6,60.5,111,1,1,1,1,0,1,1,0,48094,-61.0,13.5
21:16:47.130 -> 0.0000000,0.0000000,-17.000,262.21,0.00,0.00,0.00,0.0,0.0,0.0,77.8,-17.6,-138.0,-0.01172,0.00409,0.78613,0.61791,27.16,982.1,38.00,11,6,60.5,111,1,1,1,1,0,1,1,0,2191,-62.0,13.0
21:16:57.145 -> 0.0000000,0.0000000,-17.000,262.14,-0.02,0.00,0.00,0.0,0.0,0.0,77.4,-17.3,-139.1,-0.01172,0.00409,0.78613,0.61791,27.05,982.2,38.04,12,6,60.5,111,1,1,1,1,0,1,1,0,32554,-62.0,13.5
21:17:06.163 -> 0.0000000,0.0000000,-17.000,262.21,0.00,0.00,-0.01,0.0,0.0,0.0,78.2,-17.6,-137.5,-0.01172,0.00409,0.78576,0.61840,27.01,982.1,38.08,13,6,60.5,111,1,1,1,1,0,1,1,0,20215,-62.0,13.3
21:17:16.181 -> 0.0000000,0.0000000,-17.000,262.00,0.00,0.00,0.00,0.0,0.0,0.0,77.8,-17.6,-137.8,-0.01172,0.00409,0.78576,0.61840,26.98,982.2,38.16,14,6,60.5,111,1,1,1,1,0,1,1,0,64929,-62.0,13.0
21:17:26.202 -> 0.0000000,0.0000000,-17.000,262.12,-0.01,0.00,0.00,-0.1,0.1,0.0,77.8,-15.4,-137.4,-0.01154,0.00403,0.78179,0.62334,26.95,982.2,38.16,15,6,60.5,111,1,1,1,1,0,1,1,0,17105,-62.0,13.3
21:17:36.224 -> 0.0000000,0.0000000,-17.000,262.03,0.00,0.00,0.00,0.0,0.0,0.0,78.5,-16.5,-138.5,-0.01141,0.00403,0.78185,0.62334,26.91,982.2,38.19,16,6,60.5,111,1,1,1,1,0,1,1,0,14229,-62.0,13.5
21:17:49.241 -> 0.0000000,0.0000000,-17.000,261.82,-0.02,0.00,0.00,0.0,0.0,0.0,77.1,-17.6,-138.5,-0.01166,0.00421,0.78002,0.62566,26.83,982.2,38.28,17,6,60.5,111,1,1,1,1,0,1,1,0,14121,-62.0,13.0
21:17:59.261 -> 0.0000000,0.0000000,-17.000,261.57,0.00,0.00,0.00,0.0,0.0,0.0,77.8,-17.3,-138.6,-0.01123,0.00378,0.78002,0.62566,26.84,982.2,38.28,18,6,60.5,111,1,1,1,1,0,1,1,0,7110,-62.0,13.3
21:18:12.276 -> 0.0000000,0.0000000,-17.000,261.81,0.00,0.00,0.00,0.0,0.0,0.0,78.1,-17.6,-138.1,-0.01135,0.00391,0.79192,0.61052,26.79,982.2,38.31,19,6,60.5,111,1,1,1,1,0,1,1,0,4781,-62.0,13.0
21:18:22.294 -> 0.0000000,0.0000000,-17.000,261.94,-0.02,0.00,0.00,0.0,0.0,0.1,78.1,-17.9,-139.3,-0.01154,0.00378,0.79192,0.61046,26.73,982.2,38.36,20,6,60.5,111,1,1,1,1,0,1,1,0,17006,-62.0,13.0
21:18:35.310 -> 0.0000000,0.0000000,-17.000,261.83,-0.01,0.00,-0.01,0.0,0.0,0.0,78.5,-17.2,-137.7,-0.01154,0.00378,0.79192,0.61046,26.74,982.2,38.40,21,6,60.5,111,1,1,1,1,0,1,1,0,28048,-62.0,13.3
21:18:45.334 -> 0.0000000,0.0000000,-17.000,261.77,0.00,0.00,0.00,-0.1,0.0,-0.1,77.8,-16.5,-139.3,-0.01160,0.00385,0.79095,0.61174,26.69,982.2,38.45,22,6,60.5,111,1,1,1,1,0,1,1,0,38263,-62.0,13.0
21:18:58.349 -> 0.0000000,0.0000000,-17.000,262.07,0.00,0.00,0.00,0.0,0.0,0.0,77.4,-16.9,-138.4,-0.01154,0.00385,0.78668,0.61724,26.68,982.2,38.51,23,6,60.5,111,1,1,1,1,0,1,1,0,8144,-63.0,13.0
21:19:08.364 -> 0.0000000,0.0000000,-17.000,261.89,0.00,0.00,0.00,0.0,0.0,0.0,78.1,-17.2,-138.8,-0.01172,0.00397,0.78668,0.61724,26.65,982.2,38.50,24,6,60.5,111,1,1,1,1,0,1,1,0,23477,-62.0,13.3
21:19:21.380 -> 0.0000000,0.0000000,-17.000,262.29,-0.02,0.00,0.00,0.0,0.0,0.0,77.8,-16.5,-138.8,-0.01172,0.00397,0.78668,0.61724,26.60,982.1,38.59,25,6,60.5,111,1,1,1,1,0,1,1,0,34411,-62.0,13.3
21:19:31.401 -> 0.0000000,0.0000000,-17.000,262.14,-0.01,0.00,0.00,0.0,0.0,0.0,78.1,-17.9,-137.9,-0.01129,0.00360,0.79009,0.61284,26.59,982.2,38.60,26,6,60.5,111,1,1,1,1,0,1,1,0,21980,-62.0,13.0
