11:00:08.825 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
11:00:13.989 -> 0.0000000,0.0000000,-17.000,178.86,0.01,0.01,0.01,0.0,0.0,0.0,-0.5,16.5,-37.3,-0.00006,0.01770,-0.01898,0.99963,28.35,992.0,29.74,51,4,74.0,111,1,1,1,1,0,1,1,0,56490,-69.0,12.8
11:00:20.494 -> 0.0000000,0.0000000,-17.000,171.44,0.00,0.03,0.00,0.0,0.0,0.0,-6.9,5.8,-115.1,0.07825,0.10150,-0.64556,0.75286,24.28,992.8,39.81,143,6,65.0,111,1,1,1,1,0,1,1,0,22315,-51.0,13.3
11:00:44.985 -> 0.0000000,0.0000000,-17.000,178.56,0.01,0.00,0.00,0.0,0.0,0.0,2.1,15.8,-39.4,0.00018,0.01807,-0.01489,0.99976,28.18,992.0,28.96,52,4,74.0,111,1,1,1,1,0,1,1,0,7230,-70.0,10.3
11:00:52.492 -> 0.0000000,0.0000000,-17.000,171.00,-0.01,0.02,0.00,-0.2,-0.1,-0.1,-6.2,6.2,-114.7,0.07733,0.10175,-0.64202,0.75597,24.31,992.9,39.70,144,6,64.5,111,1,1,1,1,0,1,1,0,51985,-52.0,13.3
11:01:16.989 -> 0.0000000,0.0000000,-17.000,178.75,0.00,0.00,0.00,0.0,0.0,0.0,-0.4,16.8,-40.7,0.00031,0.01770,-0.02118,0.99963,28.10,992.0,28.90,53,4,73.5,111,1,1,1,1,0,1,1,0,25797,-70.0,11.0
11:01:24.496 -> 0.0000000,0.0000000,-17.000,171.53,-0.01,-0.02,-0.03,0.0,0.0,0.0,-5.8,6.9,-114.3,0.08014,0.09986,-0.66247,0.73809,24.27,992.8,39.66,145,6,64.5,111,1,1,1,1,0,1,1,0,28057,-51.0,12.8
11:01:47.990 -> 0.0000000,0.0000000,-17.000,178.89,0.00,0.02,0.00,0.0,0.0,0.0,0.4,16.3,-40.9,0.00024,0.01764,-0.01819,0.99969,28.00,991.9,29.06,54,4,73.5,111,1,1,1,1,0,1,1,0,64638,-71.0,10.3
11:01:56.489 -> 0.0000000,0.0000000,-17.000,171.23,0.00,-0.02,0.00,0.0,0.0,0.0,-5.8,7.3,-112.7,0.08014,0.09998,-0.65984,0.74035,24.26,992.9,39.67,146,6,64.5,111,1,1,1,1,0,1,1,0,52025,-52.0,12.8
11:02:18.990 -> 0.0000000,0.0000000,-17.000,179.14,0.00,-0.04,-0.04,0.0,0.0,0.0,0.3,16.4,-41.3,0.00031,0.01782,-0.02264,0.99957,27.95,991.9,29.08,55,4,73.5,111,1,1,1,1,0,1,1,0,7430,-70.0,11.0
11:02:28.495 -> 0.0000000,0.0000000,-17.000,171.51,-0.01,0.02,0.00,-0.1,-0.1,-0.1,-7.3,6.6,-115.1,0.08002,0.09998,-0.66015,0.74017,24.25,992.8,39.70,147,6,64.0,111,1,1,1,1,0,1,1,0,35664,-52.0,13.3
11:02:50.985 -> 0.0000000,0.0000000,-17.000,178.82,0.00,0.00,0.01,0.0,0.0,0.0,0.8,15.9,-39.6,0.00006,0.01770,-0.01209,0.99976,27.90,992.0,29.09,56,4,73.0,111,1,1,1,1,0,1,1,0,43999,-70.0,10.0
11:03:00.486 -> 0.0000000,0.0000000,-17.000,171.38,0.02,0.01,0.00,0.0,0.0,0.0,-7.3,6.9,-113.9,0.07727,0.10224,-0.64055,0.75713,24.24,992.8,39.70,148,6,64.0,111,1,1,1,1,0,1,1,0,46373,-51.0,13.3
11:03:22.985 -> 0.0000000,0.0000000,-17.000,178.91,0.00,0.00,0.01,0.0,0.0,0.0,1.1,15.3,-40.3,0.00037,0.01770,-0.02136,0.99963,27.84,991.9,29.21,57,4,73.0,111,1,1,1,1,0,1,1,0,3682,-70.0,10.3
11:03:32.492 -> 0.0000000,0.0000000,-17.000,171.18,0.00,-0.02,0.00,0.0,0.0,0.0,-6.6,7.3,-115.8,0.07752,0.10205,-0.64165,0.75622,24.26,992.8,39.68,149,6,63.5,111,1,1,1,1,0,1,1,0,46347,-52.0,12.5
11:03:54.984 -> 0.0000000,0.0000000,-17.000,178.97,0.01,0.01,0.00,0.0,0.0,0.0,1.1,15.9,-40.3,0.00006,0.01776,-0.01032,0.99982,27.80,991.9,29.27,58,4,72.5,111,1,1,1,1,0,1,1,0,28387,-70.0,10.5
11:04:04.490 -> 0.0000000,0.0000000,-17.000,171.37,0.00,0.02,0.01,0.0,0.0,-0.1,-7.3,5.8,-115.0,0.07947,0.10028,-0.65709,0.74285,24.22,992.8,39.71,150,6,63.5,111,1,1,1,1,0,1,1,0,49290,-52.0,13.3
11:04:25.991 -> 0.0000000,0.0000000,-17.000,178.97,0.00,0.00,0.00,0.2,0.0,0.0,1.7,16.1,-39.1,0.00006,0.01758,-0.00970,0.99982,27.78,991.9,29.35,59,4,72.5,111,1,1,1,1,0,1,1,0,5561,-70.0,10.5
11:04:36.490 -> 0.0000000,0.0000000,-17.000,171.54,0.03,0.01,0.00,0.0,0.0,0.0,-6.9,6.2,-113.9,0.07794,0.10126,-0.64568,0.75280,24.25,992.8,39.67,151,6,63.5,111,1,1,1,1,0,1,1,0,47029,-52.0,13.0
11:05:00.981 -> 0.0000000,0.0000000,-17.000,178.78,0.00,0.00,0.00,0.0,0.0,0.0,0.4,16.9,-40.5,0.00006,0.01758,-0.00970,0.99982,27.70,992.0,29.42,60,4,72.5,111,1,1,1,1,0,1,1,0,32178,-70.0,10.5
11:05:08.492 -> 0.0000000,0.0000000,-17.000,171.26,-0.01,0.01,0.00,0.0,-0.1,0.0,-7.3,6.2,-114.6,0.07691,0.10205,-0.63897,0.75854,24.25,992.8,39.68,152,6,63.0,111,1,1,1,1,0,1,1,0,39900,-52.0,13.3
11:05:32.986 -> 0.0000000,0.0000000,-17.000,178.69,0.00,0.00,0.01,0.0,0.1,0.0,1.4,16.5,-40.3,0.00018,0.01764,-0.01526,0.99976,27.68,992.0,29.50,61,4,72.0,111,1,1,1,1,0,1,1,0,20660,-70.0,10.8
11:05:40.493 -> 0.0000000,0.0000000,-17.000,171.21,-0.01,0.01,0.01,0.0,0.0,0.0,-6.6,5.4,-113.9,0.07691,0.10205,-0.63897,0.75854,24.25,992.9,39.65,153,6,63.0,111,1,1,1,1,0,1,1,0,37477,-53.0,13.3
11:06:04.983 -> 0.0000000,0.0000000,-17.000,178.51,0.00,0.00,0.01,0.0,0.0,0.0,0.6,16.0,-40.4,0.00031,0.01770,-0.01141,0.99976,27.64,992.0,29.53,62,4,72.0,111,1,1,1,1,0,1,1,0,32169,-70.0,10.5
11:06:12.489 -> 0.0000000,0.0000000,-17.000,171.15,-0.01,-0.03,-0.03,0.0,0.0,0.0,-6.6,7.7,-114.3,0.07764,0.10150,-0.64495,0.75347,24.26,992.9,39.68,154,6,62.5,111,1,1,1,1,0,1,1,0,44033,-52.0,13.5
11:06:36.986 -> 0.0000000,0.0000000,-17.000,178.44,0.00,0.00,0.02,0.0,0.0,0.0,1.1,15.3,-40.2,0.00012,0.01764,-0.00842,0.99982,27.65,992.0,29.48,63,4,72.0,111,1,1,1,1,0,1,1,0,50541,-70.0,10.3
11:06:47.493 -> 0.0000000,0.0000000,-17.000,171.11,0.00,0.01,-0.03,0.0,0.0,0.0,-6.9,5.8,-115.4,0.07923,0.10034,-0.65355,0.74596,24.24,992.9,39.70,155,6,62.5,111,1,1,1,1,0,1,1,0,32652,-52.0,12.8
11:07:07.984 -> 0.0000000,0.0000000,-17.000,178.24,0.00,0.01,0.01,0.0,0.0,0.0,0.4,16.9,-40.5,0.00006,0.01770,-0.00861,0.99982,27.67,992.0,29.48,64,4,71.5,111,1,1,1,1,0,1,1,0,55549,-70.0,9.8
11:07:19.493 -> 0.0000000,0.0000000,-17.000,171.06,0.04,0.01,0.00,0.0,0.0,0.0,-5.4,5.8,-113.9,0.07929,0.10077,-0.65355,0.74596,24.26,992.9,39.68,156,6,62.0,111,1,1,1,1,0,1,1,0,25740,-52.0,13.3
11:07:39.981 -> 0.0000000,0.0000000,-17.000,178.24,0.00,0.01,0.01,-0.1,0.2,0.1,1.4,15.9,-40.6,0.00000,0.01770,-0.01367,0.99976,27.62,992.0,29.50,65,4,71.5,111,1,1,1,1,0,1,1,0,50524,-70.0,10.3
11:07:51.501 -> 0.0000000,0.0000000,-17.000,171.28,-0.01,-0.02,0.00,0.0,0.0,0.0,-6.6,6.6,-115.5,0.07862,0.10065,-0.65276,0.74670,24.24,992.8,39.67,157,6,62.0,111,1,1,1,1,0,1,1,0,62845,-52.0,13.3
11:08:11.989 -> 0.0000000,0.0000000,-17.000,178.49,0.00,0.00,0.00,-0.1,0.1,0.1,0.8,15.7,-39.9,0.00006,0.01746,-0.00409,0.99982,27.61,992.0,29.53,66,4,71.0,111,1,1,1,1,0,1,1,0,20021,-70.0,10.3
11:08:23.493 -> 0.0000000,0.0000000,-17.000,170.90,0.00,-0.03,0.00,0.0,0.0,0.0,-6.6,7.7,-114.7,0.07770,0.10199,-0.64177,0.75610,24.22,992.9,39.71,158,6,61.5,111,1,1,1,1,0,1,1,0,20839,-52.0,13.0
11:08:43.984 -> 0.0000000,0.0000000,-17.000,178.59,0.00,0.00,0.01,0.0,0.0,0.0,1.1,15.9,-39.9,0.00024,0.01770,-0.01892,0.99969,27.57,992.0,29.59,67,4,71.0,111,1,1,1,1,0,1,1,0,23361,-70.0,10.0
11:08:55.494 -> 0.0000000,0.0000000,-17.000,171.19,0.03,0.02,0.00,0.0,0.0,0.0,-6.6,7.3,-113.9,0.07746,0.10175,-0.64220,0.75573,24.23,992.9,39.73,159,6,61.5,111,1,1,1,1,0,1,1,0,23195,-52.0,13.0
11:09:15.980 -> 0.0000000,0.0000000,-17.000,178.29,0.01,0.00,0.01,0.0,0.0,0.0,1.5,16.1,-39.9,0.00006,0.01807,-0.00842,0.99982,27.60,992.0,29.59,68,4,70.5,111,1,1,1,1,0,1,1,0,43825,-70.0,11.0
11:09:27.487 -> 0.0000000,0.0000000,-17.000,171.27,-0.01,-0.04,0.01,0.2,0.0,0.1,-6.9,6.6,-113.9,0.07862,0.10089,-0.65111,0.74810,24.23,992.8,39.73,160,6,61.5,111,1,1,1,1,0,1,1,0,14152,-52.0,13.0
11:09:47.981 -> 0.0000000,0.0000000,-17.000,178.20,0.00,0.01,0.00,0.0,0.0,0.0,0.2,15.5,-40.8,-0.00006,0.01794,-0.01733,0.99969,27.55,992.0,29.66,69,4,70.5,111,1,1,1,1,0,1,1,0,29102,-70.0,10.5
11:09:59.494 -> 0.0000000,0.0000000,-17.000,170.90,0.00,0.02,0.01,0.0,0.0,0.0,-6.9,7.7,-115.0,0.07849,0.10157,-0.64714,0.75146,24.24,992.9,39.70,161,6,61.0,111,1,1,1,1,0,1,1,0,19725,-52.0,13.3
