16:38:07.440 -> Latitude_deg,Longitude_deg,GPS_altitude_MSL_m,Environmental_altitude_m,Linear_acceleration_X_m_s2,Linear_acceleration_Y_m_s2,Linear_acceleration_Z_m_s2,Gyroscope_X_deg_s,Gyroscope_Y_deg_s,Gyroscope_Z_deg_s,Magnetometer_X_uT,Magnetometer_Y_uT,Magnetometer_Z_uT,Quaternion_I,Quaternion_J,Quaternion_K,Quaternion_Real,Temperature_degC,Pressure_hPa,Humidity_percentRH,Packet_counter,CSID,Cell_percentage_percent,Sensor_validity_bitmask,Linear_acceleration_valid,Gyroscope_valid,Magnetometer_valid,Quaternion_valid,GPS_valid,State_of_charge_valid,Environmental_valid,All_data_fresh,Received_CRC16_decimal,RSSI_dBm,SNR_dB
16:38:21.952 -> 0.0000000,0.0000000,-17.000,250.43,0.00,0.00,0.00,0.0,0.0,0.0,-13.8,10.4,31.8,-0.00519,-0.01263,-0.46144,0.88708,34.34,983.5,24.85,0,7,63.0,111,1,1,1,1,0,1,1,0,37681,-51.0,11.5
16:38:27.244 -> 0.0000000,0.0000000,-17.000,243.67,0.01,0.03,0.00,0.0,0.0,0.0,-101.3,194.1,-479.2,-0.00665,-0.02576,-0.90484,0.42494,27.98,984.3,38.07,78,2,54.0,111,1,1,1,1,0,1,1,0,14752,-67.0,13.3
16:38:57.211 -> 0.0000000,0.0000000,-17.000,243.30,0.02,-0.01,0.00,0.0,0.0,0.0,-101.3,194.8,-477.9,-0.00690,-0.02576,-0.90515,0.42433,28.00,984.4,38.38,79,2,54.0,111,1,1,1,1,0,1,1,0,54508,-65.0,13.0
16:39:00.001 -> 0.0000000,0.0000000,-17.000,250.64,-0.03,0.00,-0.01,0.0,0.0,0.0,-13.8,10.4,31.8,-0.00574,-0.01349,-0.46309,0.88617,35.37,983.5,23.48,0,7,63.5,111,1,1,1,1,0,1,1,0,42432,-50.0,12.0
16:39:21.982 -> 0.0000000,0.0000000,-17.000,250.63,0.02,0.00,0.00,0.2,-0.2,0.1,-13.8,10.4,31.8,-0.00592,-0.01392,-0.46132,0.88708,35.24,983.5,23.40,0,7,63.5,111,1,1,1,1,0,1,1,0,59015,-50.0,13.3
16:39:27.982 -> 0.0000000,0.0000000,-17.000,243.32,0.01,0.02,0.00,-0.1,0.0,-0.1,-100.9,194.8,-479.1,-0.00696,-0.02594,-0.90643,0.42152,27.93,984.4,38.62,80,2,53.5,111,1,1,1,1,0,1,1,0,38073,-66.0,13.0
16:39:56.026 -> 0.0000000,0.0000000,-17.000,250.42,0.00,0.00,0.00,0.0,0.0,0.0,-13.8,10.4,31.8,-0.00604,-0.01422,-0.46309,0.88617,35.60,983.5,22.97,0,7,63.5,111,1,1,1,1,0,1,1,0,13131,-50.0,11.3
16:39:58.982 -> 0.0000000,0.0000000,-17.000,243.44,0.01,0.04,0.00,0.0,0.1,-0.1,-101.3,195.5,-478.9,-0.00702,-0.02582,-0.90472,0.42512,27.87,984.3,38.86,81,2,53.5,111,1,1,1,1,0,1,1,0,8784,-66.0,13.3
16:40:03.995 -> 0.0000000,0.0000000,-17.000,249.96,0.01,0.00,0.00,0.0,0.0,0.0,-13.8,10.4,31.8,0.00000,0.00000,0.00000,1.00000,35.64,983.6,23.00,0,7,63.5,103,1,1,1,0,0,1,1,0,3002,-50.0,13.0
16:40:29.990 -> 0.0000000,0.0000000,-17.000,243.12,0.01,-0.02,0.00,0.0,0.0,0.0,-100.6,194.4,-478.7,-0.00720,-0.02594,-0.90637,0.42164,27.85,984.4,39.07,82,2,53.0,111,1,1,1,1,0,1,1,0,56107,-66.0,13.5
